id,name,category,inStock,baseline,unitCost,vendor,location,container,buyUrl,onshapeUrl,description,hasPhoto,drawingCount
afeb74b7-e1b2-4534-bf2c-fbed83b46938,90T HTD5 Belt,,8,8,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
c501ef8b-b156-4b0b-9ed9-07830d9766ac,93T HTD5 Belt,,3,3,0,Aliexpress,Main Storage Room,Belts less than 100T,,,,,0
e59a5342-71a6-4ace-9b86-023d110f382b,CIM motor,,6,0,0,AndyMark,Main Storage Room,Motors CIM,,,,,0
6f2cb8ac-4173-42de-854e-bdf8c25a7738,Cold Shrink Silicone Sleeves (Blue),,2,2,0,Aliexpress,Main Storage Room,STARS,,,,yes,0
89f419d9-233f-4d62-af87-72752fac0bda,Cold Shrink Silicone Sleeves (Yellow),,8,8,0,Aliexpress,Main Storage Room,STARS,,,,yes,0
4a9b1190-93be-41f6-a004-a1726c53c7e7,Colson Inserts,,5,5,0,,Main Storage Room,"5 & 6"" Colsons",,,,yes,0
4882de99-2bb4-43d2-a6e3-2e2bd8db2bba,GT2 20T Belt,,1,1,0,Aliexpress,Main Storage Room,Belts less than 100T,,,For 3D printing,,0
e1d6e8b5-47e1-42bd-98e4-d5dac765db2c,Hex Star Compliant Wheel,,3,3,0,,Main Storage Room,STARS,,,,yes,0
411f6581-8d31-46d3-9808-4e15ee23370d,Mini CIMS,,2,2,0,AndyMark,Main Storage Room,Motors CIM,,,,,0
70f4eaa7-2598-4660-a7ee-8c83f90cd0ee,Redline Motor,,9,0,0,AndyMark,Main Storage Room,Motors CIM,,,,,0
2d8b1bed-61d4-4ac4-b515-dadae3fa6695,Spark Motor Controller,,5,0,0,REV Robotics,Main Storage Room,Motors CIM,,,,,0
e48d20fc-9425-4baa-97a0-cde867f105ee,Square Star Compliant Wheel,,10,10,0,,Main Storage Room,STARS,,,,yes,0
